Name,Event
Naftali TEMU,10000M Men
Asbel Kipruto KIPROP,1500M Men
Noah Kiprono NGENYI,1500M Men
Kip KEINO,1500M Men
Conseslus KIPRUTO,3000M Steeplechase Men
Brimin Kiprop KIPRUTO,3000M Steeplechase Men
Reuben KOSGEI,3000M Steeplechase Men
Matthew BIRIR,3000M Steeplechase Men
Julius KORIR,3000M Steeplechase Men
Amos BIWOTT,3000M Steeplechase Men
Ezekiel KEMBOI,3000M Steeplechase Men
Ezekiel KEMBOI,3000M Steeplechase Men
Joseph KETER,3000M Steeplechase Men
Kip KEINO,3000M Steeplechase Men
null,4X400M Relay Men
David Lekuta RUDISHA,800M Men
Wilfred BUNGEI,800M Men
William TANUI,800M Men
David Lekuta RUDISHA,800M Men
Eliud Kipchoge ROTICH,Marathon Men
Samuel Kamau WANJIRU,Marathon Men
Faith Chepngetich KIPYEGON,1500M Women
Nancy Jebet LAGAT,1500M Women
Vivian Jepkemoi CHERUIYOT,5000M Women
Pamela JELIMO,800M Women
Jemima Jelagat SUMGONG,Marathon Women
